ID,Q,Aa,DIF [0-1],SUBJ,REF,Correct,A,B,C,D,Correct_Position
1,DM1: Approximately half present with ____.,DKA,0.0,ENDO,ADA 2023,DKA,DKA,RADIAL,SERPINA1,100000,A
2,"Screening criteria for Diabetes in Asymptomatic Adults: BMI>=25+RF, ____, prediabetes, age>35, HIV",GDM,0.0,ENDO,ADA 2023,GDM,55,STAPH AUREUS,GDM,PULMONARY EDEMA,C
3,"Screening criteria for Diabetes in Asymptomatic Adults: BMI>=25+RF, GDM, ____, age>35, HIV",PREDIABETES,0.0,ENDO,ADA 2023,PREDIABETES,PREDIABETES,MCI,False,HCC,A
4,"Screening criteria for Diabetes in Asymptomatic Adults: BMI>=25+RF, GDM, prediabetes, age>35, ____",HIV,0.0,ENDO,ADA 2023,HIV,PH MONITORING,AUDIOGRAM,DKA,HIV,D
5,Long-term use of metformin may be associated with biochemical vitamin ____ deficiency,B12,0.0,ENDO,ADA 2023,B12,V617F,PREDNISONE,PULMONARY EDEMA,B12,D
6,Positive HEAD IMPULSE test suggests a ____ etiology,PERIPHERAL,0.0,ENT,AFP 05/2023,PERIPHERAL,JAK2,INDIRECT INGUINAL,180,PERIPHERAL,D
7,Clinicians should order an ____ when assessing a patient for Meniere disease,AUDIOGRAM,0.0,ENT,AFP 05/2023,AUDIOGRAM,AUDIOGRAM,C1,SCAPULA,MICROASPIRATION,A
8,"Dizziness: Diabetes is a risk factor for occlusion of ____'s branch, supllying the inner ear",AICA,0.0,NEURO,PCM C166,AICA,AICA,HYDROXYUREA,JAK2,METOPROLOL,A
9,EULAR/ACR (2019): an obligatory entry criterion for SLE Dx,ANA,0.0,RHEU,AFP 04/2023,ANA,1,KLEBSIELLA,ANA,SCAPULA,C
10,The main adverse effect of Hydroxychloroquine is ____ toxicity,RETINAL,0.0,RHEU,AFP 04/2023,RETINAL,9,C1,RETINAL,PERIPHERAL,C
11,SLE: ____ should be continued during pregnancy,HYDROXYCHLOROQUINE,0.0,RHEU,AFP 04/2023,HYDROXYCHLOROQUINE,SCHISTOSOMIASIS,HYDROXYCHLOROQUINE,False,EVALI,B
12,"SLE: ____, azathioprine, and tacrolimus may be used in pregnancy if benefits outweigh risks",PREDNISONE,0.0,RHEU,AFP 04/2023,PREDNISONE,4,GLUCAGON,ALUMINUM,PREDNISONE,D
13,"SLE: Prednisone, ____, and tacrolimus may be used in pregnancy if benefits outweigh risks",AZATHIOPRINE,0.0,RHEU,AFP 04/2023,AZATHIOPRINE,AZATHIOPRINE,4,V617F,HYPOXIA,A
14,"SLE: Prednisone, azathioprine, and ____ may be used in pregnancy if benefits outweigh risks",TACROLIMUS,0.0,RHEU,AFP 04/2023,TACROLIMUS,PULMONARY EDEMA,TACROLIMUS,False,GLUCAGON,B
15,Anti-____/SS-A and anti-La/SS-B antibodies may be present in patients with SLE and can be cardiotoxic to the fetus,RO,0.0,RHEU,AFP 04/2023,RO,SCHISTOSOMIASIS,JAK2,CANDIDA,RO,D
16,Anti-Ro/SS-A and anti-____/SS-B antibodies may be present in patients with SLE and can be cardiotoxic to the fetus,LA,0.0,RHEU,AFP 04/2023,LA,METRONIDAZOLE,RETINAL,LA,B12,C
17,Long Thoracic Nerve Entrapment: Winging of the ____,SCAPULA,0.0,NEURO,PCM C167,SCAPULA,V617F,SCAPULA,JAK2,MELANOMA,B
18,____ Nerve Entrapment: Winging of the scapula,LONG THORACIC,0.0,NEURO,PCM C167,LONG THORACIC,SERPINA1,LUNG ABSCESS,LONG THORACIC,PREDIABETES,C
19,Saturday night' palsy invloves what nerve?,RADIAL,0.0,NEURO,PCM C167,RADIAL,BPH,RADIAL,55,4,B
20,The most common cause of femoral nerve injury,DIABETES,0.0,NEURO,PCM C167,DIABETES,HYDROXYUREA,ASPERGILLUS,TAMSULOSIN,DIABETES,D
21,Spasticity and increased reflexes are evidence for ____ Motor Neuron lesion,UPPER,0.0,NEURO,PCM C167,UPPER,70,UPPER,MCI,VAGUS,B
22,The most common ability lost in dementia,MEMORY,0.0,NEURO,PCM C169,MEMORY,JAK2,MEMORY,RO,KLEBSIELLA,B
23,An intermediate state between normal aging and dementia,MCI,0.0,NEURO,PCM C169,MCI,45,ENAMEL,MCI,False,C
24,Senile plaques containing ____,BETA AMYLOID,0.0,NEURO,PCM C169,BETA AMYLOID,DIASTASIS RECTI,BETA AMYLOID,RADIAL,HYDROXYUREA,B
25,Neurofibrillary tangles composed of ____,TAU,0.0,NEURO,PCM C169,TAU,DKA,MCI,TAU,HIV,C
26,The second most common cause of dementia,VASCULAR,0.0,NEURO,PCM C169,VASCULAR,CT,SCAPULA,VASCULAR,STAPH AUREUS,C
27,"Dementia, gait disturbance, urinary incontinence",NPH,0.0,NEURO,PCM C169,NPH,COPROPORPHYRIN,NPH,PREDNISONE,RETINAL,B
28,An A1C goal for many nonpregnant adults of <____% without significant hypoglycemia is appropriate.,7,0.0,ENDO,ADA 2023,7,NECROTIZING PNEUMONIA,7,FOLATE,GLUCAGON,B
29,"If using AGP/GMI to assess glycemia, a parallel goal for many nonpregnant adults is TIR of >____% with TBR <4% and time <54 mg/dL <1%.",70,0.0,ENDO,ADA 2023,70,70,2,STD,ASBESTOS,A
30,"If using AGP/GMI to assess glycemia, a parallel goal for many nonpregnant adults is TIR of >70% with TBR <____% and time <54 mg/dL <1%.",4,0.0,ENDO,ADA 2023,4,KLEBSIELLA,AUDIOGRAM,4,False,C
31,"If using AGP/GMI to assess glycemia, a parallel goal for many nonpregnant adults is TIR of >70% with TBR <4% and time <54 mg/dL <____%.",1,0.0,ENDO,ADA 2023,1,PROSTATITIS,1,False,250,B
32,"For those with frailty or at high risk of hypoglycemia, a target of >____% TIR with <1% TBR is recommended",50,0.0,ENDO,ADA 2023,50,50,LONG THORACIC,False,UPPER,A
33,"For those with frailty or at high risk of hypoglycemia, a target of >50% TIR with <____% TBR is recommended",1,0.0,ENDO,ADA 2023,1,1,10,55,TB,A
34,Level 2 hyperglycemia: >____ mg/dL,250,0.0,ENDO,ADA 2023,250,45,250,C1,4,B
35,TIR: % of readings and time ____–180 mg/dL,70,0.0,ENDO,ADA 2023,70,GASTRIN,70,HYDROXYUREA,LEGIONELLA,B
36,TIR: % of readings and time 70–____ mg/dL,180,0.0,ENDO,ADA 2023,180,180,False,1,PREDNISONE,A
37,Level 2 hypoglycemia: <____ mg/dL,54,0.0,ENDO,ADA 2023,54,COPROPORPHYRIN,54,NPH,HINCHEY,B
38,Glycemic variability (%CV) target =<____%,36,0.0,ENDO,ADA 2023,36,C1,METRONIDAZOLE,KLEBSIELLA,36,D
39,Average Glucose Goal: <____ mg/dL,154,0.0,ENDO,ADA 2023,154,SERPINA1,HIV,POLYCYTHEMIA VERA,154,D
40,____ should be prescribed for all individuals at increased risk of level 2 or 3 hypoglycemia,GLUCAGON,0.0,ENDO,ADA 2023,GLUCAGON,GLUCAGON,HYDROXYUREA,45,100000,A
41,Early introduction of insulin should be considered when A1C levels >____%,10,0.0,ENDO,ADA 2023,10,2,7,10,1,C
42,The most common cause of hirsutism,PCOS,0.0,ENDO,PCM C98,PCOS,C4,250,PCOS,AZATHIOPRINE,C
43,Polycythemia Vera common mutation,V617F,0.0,HEMATO,PCM C80,V617F,LEGIONELLA,False,AZATHIOPRINE,V617F,D
44,Polycythemia Vera commonly exhibit mutation in what gene?,JAK2,0.0,HEMATO,PCM C80,JAK2,54,JAK2,TESTOSTERONE,250,B
45,Generalized pruritus after bathing is a classic symptom of ____,POLYCYTHEMIA VERA,0.0,HEMATO,PCM C80,POLYCYTHEMIA VERA,LONG THORACIC,PCOS,PROSTATITIS,POLYCYTHEMIA VERA,D
46,What is the prefered myelosuppressive therapy for Polycythemia Vera,HYDROXYUREA,0.0,HEMATO,PCM C80,HYDROXYUREA,HYDROXYUREA,6,SERPINA1,C4,A
47,What mutation cause Alpha1-antitrypsin def.?,SERPINA1,0.0,PULMO,PCM C47,SERPINA1,GPA,SERPINA1,1,STD,B
48,"Alpha1-antitrypsin def. is a risk factor for ____, hepatitis, HCC, GPA, nec. pancreatitis",COPD,0.0,PULMO,PCM C47,COPD,1,COPD,6,36,B
49,"Alpha1-antitrypsin def. is a risk factor for COPD, hepatitis, ____, GPA, nec. pancreatitis",HCC,0.0,PULMO,PCM C47,HCC,B12,HCC,PH MONITORING,5,B
50,"Alpha1-antitrypsin def. is a risk factor for COPD, hepatitis, HCC, ____, nec. pancreatitis",GPA,0.0,PULMO,PCM C47,GPA,180,PULMONARY EDEMA,GPA,RETINAL,C
